Тест на депрессию,клиническое интервью
Уровень желудочной кислоты,УЗИ брюшной полости
ЭЭГ (электроэнцефалография),МРТ головного мозга
Мазок на флору кожи,Биопсия кожи
Зрение на дальность,Офтальмоскопия
Анализ мочи,УЗИ органов мочевыделительной системы
Биопсия опухоли,Общий анализ крови
Ринофиброларингоскопия,Аудиометрия
Электромиография,Рентгеновское исследование
ЭКГ (электрокардиограмма),Холтер мониторинг
Рентген,МРТ суставов
Анализ крови на антитела,Пикфлоуметрия
Клинический анализ крови,Рентген зубов
Анализ крови на уровень глюкозы,Гормоны щитовидной железы
Спирометрия,Рентген грудной клетки
Анализ крови на свертываемость,Биопсия костного мозга
Анализ амниотической жидкости,Анализ апгар
Тест на деменцию,Анализ мочи
Эзофагогастродуоденоскопия,Колоноскопия
Цистоскопия,Анализ мочи
Анализ антител в крови,Аллергические пробы
Анализ крови на билирубин,УЗИ печени
Копрограмма,Фиброколоноскопия
Биопсия яичников,Анализ крови на онкомаркеры
Анализ мочи на белок и альбумин,УЗИ почек
Эндоскопия верхних отделов ЖКТ,Анализ на Helicobacter pylori
Кариотипирование
Общий анализ мочи и крови,Мазок из носоглотки
Анализ крови на антитела к суставам,УЗИ суставов
pH-метрия,Манометрия пищевода
Биопсия кожи,Дерматоскопия
Электромиография,Ликворная диагностика
Электрокардиография,Анализ крови на антитела к суставам
Дерматоскопия,Косметический анализ кожи
Анализ крови на уровень липидов,Биоимпедансный анализ
Ортопантомограмма,Кефалометрия
Спирограмма,Бронхоскопия
Микроскопия макроты,Туберкулинский тест
Анализ мочи на наличие метаболитов,Анализ кала на скрытую кровь
Рентген суставов,Компьютерная томография суставов
Аудиометрия,Риноскопия
УЗИ внутренних органов
Анализ мочи на бактерии,УЗИ почек
Гастроэнтероскопия,Анализ крови на электролиты
ЭКГ суточное мониторирование,УЗИ сердца
Офтальмоскопия,Тонометрия глаза
Ревматоидный фактор в крови,Рентген суставов
Анализ крови на уровень глюкозы,УЗИ щитовидной железы
Клиническое интервью,Тесты на тревожные расстройства
Анализ крови на антитела,Эхокардиография
