Депрессия,Тревожные расстройства
Боль в животе,Расстройство пищеварения
Головная боль,Онемение конечностей
Зуд,Сыпь на коже
Затуманенное зрение,Покраснение глаз
Боли при мочеиспускании,Частое мочеиспускание
Опухоли различных органов,Потеря веса
Боль в горле,Нарушение слуха
Боли в спине и шее,Ограничение подвижности суставов
Боли в груди,Повышенное давление
Переломы,Растяжения связок
Насморк,Кожные высыпания
Зубная боль,Кровоточивость десен
Повышенный аппетит,Чрезмерная утомляемость
Одышка,Хрипы в груди
Частые кровотечения,Синяки без причины
Преждевременные роды,Нарушение адаптации младенцев
Слабость,Проблемы с памятью
Расстройство желудка,Заболевания кишечника
Опухоли мочевого пузыря,Кровь в моче
Частые простуды,Аллергические реакции
Желтуха,Боль в правом боку
Запоры,Диарея
Опухоли яичников,Кровотечения матки
Отеки,Боли в пояснице
Язвы желудка,Дуоденит
Семейный анамнез наследственных заболеваний
Лихорадка,Кашель у детей
Боли в суставах,Утренняя скованность
Изжога,Отрыжка
Злокачественные новообразования кожи,Родимые пятна
Паралич,Судороги
Боли в суставах,Поражение сердца
Акне и угревая сыпь,Морщины и потеря упругости кожи
Избыточный вес,Нарушение обмена веществ
Неправильное положение зубов,Глубокий прикус
Кашель,Бронхит
Продолжительный кашель,Лихорадка
Задержка развития,Проблемы с пищеварением
Боли в суставах,Нарушение осанки
Нарушение зонтичного слуха,Гнойные отиты
Боли в брюшной полости,Повышенное давление и отеки
Частые мочевые инфекции,Боли в животе
Тошнота,Рвота
Аритмия,Сердцебиение
Зуд,Слезотечение
Ревматоидный артрит,Воспаление суставов
Сахарный диабет,Нарушение щитовидной железы
Бессонница,Тревожность
Поражение суставов,Поражение сердца
